CO(GT);PT08.S1(CO);C6H6(GT);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);T;RH;AH
3.7;1408.0;15.1;295.0;830.0;119.0;1777.0;9.6;59.7;0.7124
3.2;1447.0;12.9;250.0;869.0;126.0;1667.0;12.4;51.2;0.7335
4.1;1542.0;16.1;296.0;808.0;158.0;1780.0;15.6;42.2;0.7451
3.6;1451.0;14.0;239.0;875.0;161.0;1679.0;18.4;33.8;0.709
2.8;1328.0;12.3;153.0;987.0;124.0;1600.0;19.4;31.3;0.695
2.0;1207.0;8.6;118.0;1088.0;102.0;1488.0;18.0;34.8;0.7127
2.0;1240.0;9.2;119.0;1049.0;116.0;1532.0;18.4;33.6;0.7042
2.5;1306.0;10.2;138.0;1004.0;124.0;1554.0;17.6;35.1;0.7012
2.3;1326.0;10.6;148.0;976.0;125.0;1602.0;16.7;37.8;0.7117
3.2;1473.0;15.5;227.0;831.0;148.0;1779.0;16.1;41.0;0.7451
4.2;1609.0;19.6;277.0;758.0;165.0;1922.0;15.8;42.4;0.7569
4.2;1611.0;19.2;279.0;754.0;161.0;1915.0;15.7;44.1;0.7786
4.2;1621.0;18.3;283.0;762.0;159.0;1860.0;15.3;46.8;0.8091
3.1;1444.0;13.1;214.0;844.0;143.0;1748.0;14.6;48.6;0.806
2.6;1418.0;10.9;172.0;892.0;130.0;1603.0;14.7;49.3;0.8193
2.9;1534.0;11.0;190.0;889.0;129.0;1611.0;13.9;53.6;0.8498
2.8;1484.0;11.9;174.0;880.0;119.0;1624.0;14.6;51.5;0.8536
2.5;1367.0;8.6;128.0;953.0;104.0;1543.0;12.5;58.9;0.8537
2.4;1344.0;9.7;180.0;921.0;113.09125081011017;1620.0;11.6;63.4;0.8674
1.8;1130.0;5.2;70.0;1130.0;82.0;1452.0;12.1;61.1;0.8603
1.2;1062.0;3.7;53.0;1272.0;70.0;1377.0;11.5;63.1;0.8533
1.0;1076.0;2.5;44.0;1395.0;63.0;1333.0;11.6;62.2;0.8473
0.9;1028.0;2.4;74.0;1384.0;67.0;1340.0;10.4;67.6;0.853
1.4;1155.0;4.2;101.0;1225.0;84.0;1414.0;11.6;62.7;0.853
1.6;1235.0;6.4;118.0;1055.0;83.0;1527.0;12.4;60.0;0.8627
2.2;1332.0;8.6;144.0;952.0;98.0;1614.0;14.5;53.1;0.8728
2.8;1445.0;10.9;176.0;878.0;114.0;1696.0;16.9;46.1;0.8789
2.8;1416.0;10.7;161.0;907.0;119.0;1677.0;19.3;38.3;0.8474
2.0;1281.0;7.5;113.0;1084.0;104.0;1525.0;21.2;31.4;0.7812
1.8;1207.0;7.5;103.0;1104.0;102.0;1490.0;21.4;30.2;0.7616
1.9;1258.0;8.2;112.0;1081.0;107.0;1511.0;21.9;29.0;0.7525
3.0;1458.0;11.9;170.0;974.0;129.0;1646.0;22.2;28.4;0.7516
2.9;1438.0;12.0;180.0;943.0;128.0;1668.0;21.3;30.8;0.7696
2.5;1478.0;12.2;160.0;929.0;121.0;1671.0;19.7;36.7;0.8307
4.6;1808.0;20.6;261.0;753.0;157.0;1993.0;18.4;41.7;0.8732
5.9;1898.0;23.1;325.0;681.0;173.0;2103.0;17.6;46.1;0.921
3.4;1560.0;14.7;217.0;784.0;146.0;1818.0;16.7;49.6;0.932
2.1;1324.0;9.0;146.0;924.0;121.0;1587.0;16.3;51.0;0.9341
2.2;1349.0;8.8;152.0;933.0;119.0;1617.0;14.7;55.9;0.9314
1.8;1239.0;7.4;104.0;985.0;99.0;1547.0;14.8;54.7;0.9164
1.8;1239.0;6.9;106.0;1010.0;93.0;1543.0;14.0;57.0;0.9094
1.8;1224.0;7.0;108.0;998.0;88.0;1566.0;13.4;61.3;0.9361
1.1;1078.0;4.4;180.0;1128.0;113.09125081011017;1487.0;12.6;63.5;0.923
1.8;1078.0;4.0;66.0;1150.0;71.0;1468.0;12.3;65.4;0.9351
1.0;1075.0;3.9;88.0;1156.0;74.0;1464.0;11.9;67.4;0.9375
1.4;1157.0;6.4;138.0;1030.0;80.0;1584.0;11.4;70.5;0.9475
2.2;1314.0;9.7;228.0;897.0;89.0;1710.0;11.3;70.2;0.9401
5.5;1797.0;25.9;360.0;652.0;114.0;2323.0;12.4;63.9;0.917
8.1;1961.0;36.7;478.0;537.0;149.0;2665.0;14.8;54.3;0.9076
5.8;1771.0;26.6;394.0;622.0;157.0;2262.0;17.4;45.6;0.8993
4.2;1564.0;20.1;319.0;710.0;155.0;2029.0;19.8;38.5;0.8801
3.1;1430.0;14.1;201.0;831.0;134.0;1783.0;22.0;34.1;0.8904
2.9;1417.0;14.9;171.0;830.0;119.0;1831.0;23.3;32.2;0.9096
2.9;1400.0;15.4;159.0;838.0;111.0;1829.0;23.9;30.0;0.8757
2.5;1317.0;12.1;153.0;926.0;104.0;1707.0;24.4;28.9;0.8736
2.3;1318.0;11.5;143.0;950.0;99.0;1675.0;24.4;29.4;0.8848
2.8;1445.0;14.8;156.0;857.0;110.0;1824.0;23.8;31.3;0.9137
6.1;1917.0;32.1;314.0;631.0;162.0;2447.0;22.5;35.4;0.9547
8.0;2040.0;39.2;404.0;542.0;187.0;2679.0;20.4;42.5;1.0086
6.5;1895.0;31.0;320.0;565.0;165.0;2443.0;18.3;52.6;1.0945
4.2;1595.0;19.9;256.0;678.0;145.0;2058.0;16.7;57.4;1.0786
3.2;1439.0;15.3;193.0;764.0;125.0;1856.0;15.7;60.2;1.0654
1.4;1142.0;6.9;89.0;1008.0;101.0;1547.0;15.3;61.4;1.058
2.1;1304.0;11.1;127.0;852.0;103.0;1731.0;14.1;65.7;1.0494
1.2;1074.0;5.4;79.0;1098.0;88.0;1483.0;14.8;60.6;1.0148
0.8;968.0;2.8;43.0;1320.0;61.0;1386.0;14.8;59.2;0.9879
0.7;929.0;2.3;180.0;1376.0;113.09125081011017;1364.0;13.6;62.1;0.9636
1.8;941.0;2.6;59.0;1316.0;59.0;1373.0;12.3;66.2;0.945
0.6;937.0;2.0;38.0;1412.0;52.0;1348.0;12.8;63.2;0.9283
0.9;1017.0;3.5;82.0;1246.0;64.0;1418.0;11.2;68.5;0.9081
1.3;1171.0;5.1;99.0;1162.0;70.0;1467.0;11.0;66.5;0.8705
3.4;1541.0;16.2;263.0;770.0;97.0;1889.0;11.7;63.7;0.8719
3.7;1539.0;19.7;229.0;698.0;95.0;2055.0;13.6;56.3;0.8743
5.3;1735.0;25.1;396.0;628.0;150.0;2211.0;17.8;42.9;0.8672
4.1;1571.0;20.0;314.0;730.0;162.0;1973.0;21.4;33.3;0.8417
3.3;1452.0;18.3;217.0;776.0;154.0;1868.0;24.4;27.4;0.8231
4.0;1579.0;22.3;252.0;724.0;161.0;1998.0;25.3;26.1;0.8264
3.8;1466.0;20.4;263.0;773.0;161.0;1897.0;25.8;23.2;0.7589
2.8;1280.0;14.6;180.0;893.0;128.0;1675.0;27.0;20.2;0.7094
2.9;1407.0;16.6;184.0;905.0;129.0;1759.0;28.2;18.6;0.7014
2.9;1389.0;15.8;190.0;898.0;133.0;1739.0;28.0;19.1;0.7098
3.4;1447.0;17.8;184.0;859.0;139.0;1778.0;23.9;25.7;0.7519
3.9;1551.0;19.1;181.0;800.0;137.0;1875.0;21.3;34.8;0.873
3.2;1474.0;15.8;166.0;854.0;143.0;1776.0;20.4;36.7;0.8704
5.1;1800.0;24.9;317.0;700.0;177.0;2106.0;19.0;41.3;0.9007
2.6;1379.0;13.5;184.0;818.0;138.0;1710.0;17.9;45.9;0.9342
1.7;1201.0;9.1;130.0;935.0;117.0;1560.0;16.7;48.9;0.9226
1.7;1205.0;8.6;132.0;922.0;107.0;1547.0;15.5;52.9;0.9271
1.2;1072.0;5.4;95.0;1066.0;90.0;1442.0;15.5;51.9;0.9059
0.9;998.0;4.1;70.0;1169.0;79.0;1383.0;14.1;55.6;0.891
0.7;933.0;2.6;180.0;1292.0;113.09125081011017;1332.0;13.1;57.9;0.8666
1.8;883.0;1.9;54.0;1396.0;60.0;1303.0;12.7;57.9;0.8447
0.5;869.0;1.6;28.0;1460.0;40.0;1268.0;11.8;58.0;0.8026
0.5;891.0;1.9;46.0;1417.0;53.0;1289.0;11.9;57.4;0.7978
1.6;1173.0;7.5;160.0;1038.0;84.0;1556.0;9.9;65.2;0.7956
4.1;1587.0;21.4;320.0;702.0;108.0;1999.0;11.1;60.2;0.7958
6.6;1852.0;36.4;377.0;553.0;127.0;2535.0;14.1;50.0;0.802
4.3;1522.0;21.3;280.0;703.0;134.0;2026.0;17.7;40.1;0.8048
2.9;1438.0;15.4;221.0;819.0;135.0;1782.0;21.1;33.4;0.8265
2.5;1393.0;12.5;210.0;905.0;142.0;1654.0;24.3;28.3;0.8471
2.8;1452.0;15.1;204.0;861.0;153.0;1747.0;25.6;25.6;0.8254
2.6;1389.0;13.7;161.0;887.0;123.0;1712.0;25.9;25.9;0.8503
2.0;1207.0;10.4;135.0;1013.0;104.0;1520.0;26.8;18.7;0.65
2.9;1365.0;15.2;186.0;940.0;129.0;1679.0;29.3;15.8;0.6309
2.5;1247.0;12.3;147.0;1032.0;114.0;1525.0;28.5;14.9;0.5708
5.0;1557.0;27.0;299.0;793.0;158.0;1981.0;25.9;16.0;0.5237
7.6;1973.0;38.4;411.0;617.0;194.0;2414.0;23.1;26.5;0.7403
6.7;1975.0;35.1;347.0;597.0;182.0;2416.0;20.5;38.2;0.9133
5.7;1795.0;27.2;336.0;653.0;180.0;2174.0;19.1;42.6;0.9294
2.8;1444.0;15.0;202.0;770.0;136.0;1727.0;17.2;44.1;0.8558
2.6;1488.0;15.7;178.0;731.0;127.0;1778.0;16.0;50.9;0.9206
2.3;1371.0;13.0;154.0;796.0;116.0;1669.0;14.8;53.9;0.9024
1.4;1161.0;8.1;92.0;947.0;107.0;1502.0;14.3;55.4;0.8975
1.0;1064.0;5.5;61.0;1057.0;88.0;1407.0;14.8;52.1;0.8686
0.7;970.0;3.6;180.0;1196.0;113.09125081011017;1351.0;13.9;53.9;0.8501
1.8;954.0;2.9;60.0;1260.0;78.0;1334.0;11.6;61.9;0.8442
0.6;931.0;2.5;37.0;1293.0;57.0;1307.0;12.0;58.9;0.8233
0.7;938.0;3.0;68.0;1251.0;71.0;1333.0;10.9;62.1;0.8113
1.5;1166.0;7.7;139.0;1005.0;85.0;1551.0;10.6;63.3;0.8067
4.7;1643.0;23.3;339.0;667.0;124.0;2094.0;11.5;60.0;0.8117
6.6;1934.0;35.8;421.0;541.0;151.0;2468.0;14.3;50.6;0.8186
4.5;1617.0;21.3;349.0;686.0;150.0;2010.0;17.8;40.5;0.821
2.8;1473.0;14.3;224.0;831.0;152.0;1752.0;20.8;34.4;0.8365
2.2;1379.0;12.5;171.0;899.0;139.0;1663.0;23.8;28.2;0.8219
2.2;1385.0;12.2;149.0;891.0;133.0;1648.0;24.2;28.7;0.8515
2.3;1379.0;13.1;137.0;901.0;126.0;1660.0;25.2;24.9;0.7829
2.2;1322.0;14.4;149.0;934.0;128.0;1639.0;27.0;17.8;0.6275
2.8;1496.0;16.8;172.0;822.0;169.0;1767.0;27.1;23.1;0.818
2.7;1409.0;14.5;166.0;873.0;149.0;1689.0;25.8;23.9;0.7832
3.7;1513.0;21.5;214.0;764.0;156.0;1957.0;23.0;26.8;0.7446
5.1;1667.0;26.4;280.0;683.0;168.0;2118.0;20.7;31.1;0.7523
5.1;1667.0;26.0;276.0;684.0;176.0;2051.0;18.6;36.2;0.7676
3.2;1430.0;14.1;178.0;814.0;135.0;1732.0;16.0;48.4;0.8768
2.1;1333.0;10.3;129.0;885.0;121.0;1621.0;14.5;57.8;0.9456
1.7;1262.0;8.3;95.0;948.0;99.0;1545.0;13.1;64.2;0.9606
2.0;1287.0;8.9;126.0;918.0;106.0;1606.0;12.0;69.7;0.9735
1.6;1134.0;6.6;103.0;1021.0;96.0;1501.0;11.9;71.1;0.9915
0.9;999.0;3.6;48.0;1229.0;63.0;1380.0;12.5;69.3;1.0029
0.7;961.0;2.5;180.0;1382.0;113.09125081011017;1301.0;12.5;67.5;0.9768
1.8;934.0;1.8;20.0;1440.0;32.0;1280.0;12.3;67.7;0.9665
0.5;913.0;1.3;18.0;1620.0;28.0;1260.0;12.5;66.8;0.962
0.7;969.0;2.3;56.0;1373.0;61.0;1324.0;12.3;66.3;0.9487
1.5;1182.0;6.7;115.0;1054.0;99.0;1539.0;12.4;64.9;0.9332
4.8;1740.0;22.8;320.0;671.0;157.0;2144.0;13.0;61.6;0.9209
6.2;1819.0;31.3;357.0;575.0;166.0;2456.0;13.6;58.8;0.912
4.0;1427.0;19.2;253.0;701.0;149.0;1980.0;13.9;57.1;0.9032
3.3;1390.0;16.4;218.0;759.0;135.0;1879.0;14.5;54.4;0.8917
2.8;1283.0;14.0;192.0;813.0;127.0;1751.0;15.5;50.1;0.8744
3.0;1304.0;15.3;176.0;793.0;122.0;1801.0;16.1;47.6;0.8655
3.3;1364.0;16.7;198.0;771.0;135.0;1875.0;16.3;47.1;0.864
3.5;1410.0;19.0;212.0;724.0;139.0;1957.0;16.4;47.5;0.8791
4.0;1476.0;19.4;249.0;708.0;147.0;1955.0;16.1;50.2;0.9094
4.6;1522.0;20.9;270.0;690.0;158.0;2005.0;16.0;50.7;0.9142
4.1;1442.0;20.2;231.0;704.0;146.0;1952.0;15.8;50.3;0.8989
4.5;1469.0;21.7;251.0;677.0;144.0;1997.0;15.5;50.6;0.884
3.9;1467.0;19.8;210.0;698.0;138.0;1942.0;15.4;51.4;0.8956
4.0;1421.0;16.7;249.0;748.0;143.0;1854.0;15.2;53.1;0.9117
2.2;1175.0;9.1;143.0;904.0;116.0;1604.0;14.7;57.6;0.9573
2.1;1215.0;8.3;127.0;948.0;109.0;1547.0;14.2;58.3;0.938
1.7;1127.0;5.8;104.0;1064.0;92.0;1447.0;13.8;57.9;0.9085
1.6;1090.0;5.2;86.0;1105.0;83.0;1429.0;13.9;55.9;0.8842
1.3;1017.0;4.1;74.0;1182.0;81.0;1382.0;13.9;55.6;0.8765
1.3;997.0;3.4;180.0;1252.0;113.09125081011017;1359.0;13.8;55.1;0.8666
1.8;945.0;2.9;44.0;1308.0;55.0;1332.0;13.8;54.6;0.8574
0.8;956.0;3.1;42.0;1260.0;53.0;1351.0;13.6;55.1;0.856
0.8;966.0;2.5;63.0;1317.0;67.0;1342.0;13.6;59.0;0.9129
1.1;1064.0;4.3;115.0;1161.0;91.0;1461.0;13.5;58.4;0.896
2.1;1300.0;8.9;170.0;902.0;113.0;1623.0;13.8;58.0;0.9083
2.4;1348.0;10.5;147.0;834.0;102.0;1689.0;14.6;53.1;0.8765
2.6;1425.0;12.5;166.0;776.0;107.0;1764.0;15.0;52.3;0.8881
2.8;1474.0;12.3;195.0;768.0;113.0;1768.0;15.4;52.1;0.9046
2.6;1490.0;11.7;182.0;782.0;108.0;1757.0;16.3;50.0;0.9158
2.6;1495.0;11.7;168.0;809.0;105.0;1735.0;17.1;47.9;0.9281
2.1;1376.0;9.3;125.0;900.0;93.0;1636.0;19.0;42.9;0.937
1.7;1305.0;7.6;95.0;980.0;87.0;1573.0;19.5;42.3;0.9476
1.6;1283.0;6.7;79.0;1036.0;76.0;1539.0;19.5;42.3;0.9493
2.1;1392.0;9.7;119.0;930.0;94.0;1649.0;19.1;43.8;0.9556
2.3;1452.0;12.4;142.0;856.0;110.0;1774.0;18.5;46.3;0.9744
3.5;1633.0;16.6;215.0;734.0;136.0;1919.0;17.4;51.6;1.0159
3.9;1625.0;16.4;229.0;733.0;139.0;1885.0;17.1;51.3;0.9914
3.3;1535.0;13.7;206.0;785.0;125.0;1820.0;16.4;53.8;0.9964
2.3;1323.0;9.9;147.0;864.0;111.0;1712.0;16.2;55.4;1.0132
2.1;1309.0;8.9;122.0;905.0;97.0;1672.0;15.9;57.7;1.0356
2.8;1456.0;10.6;175.0;835.0;107.0;1714.0;15.7;58.6;1.0396
2.1;1300.0;7.4;133.0;941.0;90.0;1577.0;15.1;60.9;1.0398
1.6;1203.0;6.2;89.0;1004.0;84.0;1526.0;15.6;56.6;0.9951
1.6;1195.0;6.5;180.0;987.0;113.09125081011017;1554.0;15.2;57.9;0.9941
1.8;1117.0;5.8;85.0;1029.0;87.0;1539.0;15.4;57.8;1.0021
1.1;1062.0;4.0;55.0;1136.0;66.0;1461.0;14.9;60.6;1.0196
0.7;947.0;2.1;24.0;1300.0;36.0;1390.0;14.5;63.0;1.0316
0.8;1065.0;3.6;72.0;1143.0;62.0;1492.0;14.2;66.2;1.063
1.2;1155.0;4.4;122.0;1062.0;91.0;1528.0;14.5;65.3;1.0704
1.4;1220.0;5.4;111.0;996.0;89.0;1560.0;15.3;62.1;1.073
1.7;1301.0;7.1;123.0;914.0;93.0;1633.0;16.3;59.0;1.0868
1.8;1279.0;7.3;106.0;911.0;81.0;1646.0;18.9;49.6;1.07
1.8;1267.0;7.6;103.0;953.0;82.0;1617.0;19.4;46.1;1.0249
1.9;1239.0;6.8;102.0;981.0;80.0;1568.0;20.8;41.6;1.0091
1.3;1128.0;4.6;48.0;1144.0;48.0;1507.0;21.4;40.3;1.0126
1.6;1243.0;8.4;63.0;962.0;61.0;1669.0;21.2;39.3;0.9791
1.9;1208.0;6.9;98.0;1060.0;89.0;1506.0;20.3;38.0;0.8942
2.3;1306.0;9.0;132.0;961.0;105.0;1607.0;19.4;41.3;0.9206
3.8;1546.0;15.1;173.0;769.0;116.0;1874.0;18.5;43.8;0.9252
3.5;1501.0;12.6;185.0;823.0;119.0;1744.0;17.8;48.1;0.9689
4.3;1605.0;15.1;266.0;769.0;144.0;1840.0;17.9;46.9;0.952
2.8;1316.0;9.9;188.0;883.0;123.0;1673.0;17.4;49.1;0.9688
1.9;1195.0;8.0;122.0;933.0;105.0;1594.0;17.0;51.7;0.9914
1.9;1211.0;7.9;112.0;920.0;93.0;1624.0;16.4;55.1;1.0198
1.7;1161.0;6.1;93.0;995.0;86.0;1582.0;16.1;60.0;1.0919
1.5;1095.0;5.1;74.0;1050.0;76.0;1547.0;15.8;60.5;1.0805
0.6;897.0;1.7;23.0;1417.0;33.0;1355.0;16.3;57.0;1.0491
0.4;842.0;0.7;180.0;1813.0;113.09125081011017;1274.0;16.9;53.9;1.0309
1.8;854.0;0.8;17.0;1756.0;27.0;1304.0;16.1;55.9;1.0153
0.3;845.0;0.7;15.0;1786.0;23.0;1278.0;16.5;53.9;1.0049
0.6;942.0;2.0;41.0;1480.0;46.0;1373.0;16.4;54.0;0.9979
1.2;1090.0;5.1;86.0;1072.0;76.0;1538.0;15.7;57.6;1.0195
3.6;1514.0;17.7;226.0;732.0;116.0;1996.0;15.8;53.7;0.9571
3.7;1379.0;18.4;214.0;711.0;115.0;1962.0;17.4;42.1;0.8281
1.8;1074.0;6.9;115.0;1032.0;83.0;1484.0;17.9;38.4;0.7793
1.6;1090.0;7.3;124.0;1026.0;87.0;1509.0;18.5;36.7;0.7764
1.9;1110.0;9.6;122.0;947.0;90.0;1577.0;21.0;29.6;0.7263
2.0;1102.0;10.4;107.0;955.0;87.0;1599.0;21.3;28.1;0.7067
2.2;1100.0;11.2;133.0;952.0;99.0;1607.0;21.3;26.1;0.6539
2.1;1094.0;10.7;130.0;965.0;99.0;1574.0;21.3;26.8;0.6681
2.3;1076.0;11.6;150.0;964.0;101.0;1544.0;21.3;24.2;0.606
2.6;1152.0;12.4;138.0;928.0;103.0;1606.0;20.2;28.5;0.6682
3.8;1407.0;18.3;213.0;720.0;129.0;1932.0;17.0;43.1;0.8264
4.4;1438.0;21.0;232.0;678.0;143.0;1993.0;15.6;47.4;0.8347
4.5;1425.0;21.0;238.0;678.0;146.0;1965.0;15.3;47.4;0.8178
3.3;1279.0;14.5;180.0;775.0;124.0;1758.0;14.5;49.7;0.8177
2.0;1132.0;8.4;128.0;920.0;113.0;1561.0;13.9;52.0;0.8231
1.1;1006.0;4.3;65.0;1142.0;80.0;1370.0;14.5;49.4;0.8106
0.9;982.0;3.8;53.0;1204.0;72.0;1359.0;13.8;51.4;0.8071
0.8;969.0;2.7;47.0;1271.0;64.0;1309.0;14.0;51.3;0.8163
0.7;941.0;2.5;51.0;1298.0;70.0;1330.0;13.0;56.8;0.8444
0.5;892.0;1.2;180.0;1522.0;113.09125081011017;1285.0;11.0;70.0;0.9215
1.8;855.0;0.8;20.0;1701.0;31.0;1261.0;10.1;76.8;0.9483
0.3;834.0;0.6;13.0;1908.0;22.0;1212.0;8.8;80.5;0.9147
0.5;909.0;1.8;33.0;1542.0;47.0;1287.0;9.6;75.4;0.9004
1.1;1061.0;4.6;103.0;1178.0;88.0;1429.0;9.8;75.0;0.9093
3.0;1441.0;14.2;224.0;851.0;130.0;1829.0;10.0;74.2;0.9117
3.8;1498.0;21.0;244.0;684.0;132.0;2095.0;11.2;69.7;0.9232
3.4;1343.0;16.2;237.0;760.0;132.0;1857.0;12.0;62.9;0.8803
3.0;1308.0;15.5;220.0;792.0;131.0;1794.0;12.8;55.8;0.821
2.7;1209.0;13.4;207.0;837.0;129.0;1746.0;13.1;54.8;0.8234
3.5;1310.0;16.9;208.0;770.0;132.0;1847.0;13.8;53.4;0.8351
2.8;1171.0;12.4;160.0;881.0;110.0;1639.0;16.0;42.4;0.7674
1.9;1112.0;10.1;131.0;924.0;99.0;1589.0;14.1;49.8;0.7971
2.0;1132.0;8.7;128.0;944.0;100.0;1570.0;12.0;61.1;0.8537
3.0;1225.0;13.8;176.0;818.0;122.0;1719.0;13.6;54.6;0.8465
1.9;1065.0;9.3;107.0;962.0;97.0;1514.0;13.7;49.5;0.7695
2.7;1236.0;13.0;131.0;854.0;112.0;1688.0;11.7;57.1;0.7822
3.3;1309.0;14.3;166.0;812.0;128.0;1722.0;11.5;58.2;0.7867
1.7;1089.0;7.6;89.0;1006.0;101.0;1487.0;12.6;54.2;0.7881
1.3;1000.0;5.3;81.0;1141.0;96.0;1375.0;12.0;54.9;0.7664
1.3;1041.0;5.4;78.0;1105.0;86.0;1425.0;11.0;61.4;0.8057
1.2;1045.0;4.9;70.0;1137.0;85.0;1411.0;11.1;62.2;0.8199
